id_in_tp	bigg	metnetx	metacyc	kegg	seed	type	model
10fthf_c						met	iNF517
12dgr_LRE_c						met	iNF517
13dpg_c						met	iNF517
1pyr5c_c						met	iNF517
23dhdp_c						met	iNF517
23dhmb_c						met	iNF517
23dhmp_c						met	iNF517
25aics_c						met	iNF517
25dhpp_c						met	iNF517
26dap_LL_c						met	iNF517
26dap__M_c						met	iNF517
2aeppn_c						met	iNF517
2aeppn_e						met	iNF517
2ahbut_c						met	iNF517
2ahhmd_c						met	iNF517
2ahhmp_c						met	iNF517
but2eACP_c						met	iNF517
4cml_c						met	iNF517
2chdeacp_c						met	iNF517
octeACP_c						met	iNF517
2cpr5p_c						met	iNF517
2ctdeacp_c						met	iNF517
2dda7p_c						met	iNF517
2ddg6p_c						met	iNF517
2ddglcn_c						met	iNF517
2dhp_c						met	iNF517
2dmmq8_c						met	iNF517
2dr1p_c						met	iNF517
2dr5p_c						met	iNF517
2h3mb_c						met	iNF517
2h3mb_e						met	iNF517
2h3mp_c						met	iNF517
2h3mp_e						met	iNF517
2hxic__L_c						met	iNF517
2hxic__L_e						met	iNF517
2hxmp_c						met	iNF517
2ippm_c						met	iNF517
2mahmp_c						met	iNF517
2mb_p_c						met	iNF517
2mba_c						met	iNF517
2mba_e						met	iNF517
2mbald_c						met	iNF517
2mbald_e						met	iNF517
2mbcoa_c						met	iNF517
2mop_c						met	iNF517
2mpa_c						met	iNF517
2mpa_e						met	iNF517
2obut_c						met	iNF517
2pg_c						met	iNF517
2shchc_c						met	iNF517
2tddacp_c						met	iNF517
2tdeacp_c						met	iNF517
2thdeacp_c						met	iNF517
2theacp_c						met	iNF517
2tocdacp_c						met	iNF517
2toceacp_c						met	iNF517
2ttdeacp_c						met	iNF517
34hpp_c						met	iNF517
3c2hmp_c						met	iNF517
3c3hmp_c						met	iNF517
3dhq_c						met	iNF517
3dhsk_c						met	iNF517
3hbutACP_c						met	iNF517
3hddacp_c						met	iNF517
3hdeacp_c						met	iNF517
3hhacp_c						met	iNF517
3hmp_c						met	iNF517
3hocacp_c						met	iNF517
3hocdacp_c						met	iNF517
3hpaacp_c						met	iNF517
3htdacp_c						met	iNF517
3ig3p_c						met	iNF517
3mba_c						met	iNF517
3mba_e						met	iNF517
3mbal_c						met	iNF517
3mbal_e						met	iNF517
3mob_c						met	iNF517
3mop_c						met	iNF517
3oxddacp_c						met	iNF517
3oxdeacp_c						met	iNF517
3oxhacp_c						met	iNF517
3oxhdacp_c						met	iNF517
3oxocacp_c						met	iNF517
3oxocdacp_c						met	iNF517
3oxtdacp_c						met	iNF517
3pg_c						met	iNF517
3php_c						met	iNF517
3psme_c						met	iNF517
4abut_c						met	iNF517
4abut_e						met	iNF517
4abz_c						met	iNF517
4abz_e						met	iNF517
4adcho_c						met	iNF517
4ahmmp_c						met	iNF517
4ampm_c						met	iNF517
4h2oxg_c						met	iNF517
4hglu_c						met	iNF517
4met2obut_c						met	iNF517
4mhetz_c						met	iNF517
4mop_c						met	iNF517
4mpetz_c						met	iNF517
4pasp_c						met	iNF517
4ppan_c						met	iNF517
4ppcys_c						met	iNF517
4r5au_c						met	iNF517
5aizc_c						met	iNF517
5aprbu_c						met	iNF517
5apru_c						met	iNF517
5dpmev_c						met	iNF517
5fthf_c						met	iNF517
5mta_c						met	iNF517
5mthf_c						met	iNF517
mhpglu_c						met	iNF517
5mtr_c						met	iNF517
5odhf2a_c						met	iNF517
5pmev_c						met	iNF517
6pgc_c						met	iNF517
6pgg_c						met	iNF517
6pgl_c						met	iNF517
ACP_2_c						met	iNF517
ACP_c						met	iNF517
CPS_LRE_c						met	iNF517
DNA_LRE_c						met	iNF517
LTAAlaGal_LRE_c						met	iNF517
LTA_LRE_c						met	iNF517
